===============================================================================
Id,NFLX,len,datetime,open,high,low,close,volume,openinterest,AMZN,len,datetime,open,high,low,close,volume,openinterest,Strategy_pairGen,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,NFLX,AMZN
43,NFLX,43,2021-08-04 23:59:59.999989,146.85,147.0397,146.5504,146.6004,3557712.0,0.0,AMZN,43,2021-08-04 23:59:59.999989,286.45,287.5883,286.4,286.96,1426726.0,0.0,Strategy_pairGen,43,738006.9999999999,Broker,43,100000.0,100000.0,BuySell,43,,,BuySell,43,,,DataTrades,43,,
44,NFLX,44,2021-08-04 23:59:59.999989,146.5954,147.1096,146.4406,146.7202,5955447.0,0.0,AMZN,44,2021-08-04 23:59:59.999989,286.98,287.22,286.39,286.46,1573699.0,0.0,Strategy_pairGen,44,738006.9999999999,Broker,44,100000.0,100000.0,BuySell,44,,,BuySell,44,,,DataTrades,44,,
45,NFLX,45,2021-08-04 23:59:59.999989,146.7302,146.7302,146.5305,146.6103,5172844.0,0.0,AMZN,45,2021-08-04 23:59:59.999989,286.51,286.75,286.23,286.48,2444774.0,0.0,Strategy_pairGen,45,738006.9999999999,Broker,45,100000.0,100000.0,BuySell,45,,,BuySell,45,,,DataTrades,45,,
46,NFLX,46,2021-08-04 23:59:59.999989,146.6103,146.7302,146.5904,146.6802,488585.0,0.0,AMZN,46,2021-08-04 23:59:59.999989,286.42,286.51,286.37,286.4,216964.0,0.0,Strategy_pairGen,46,738006.9999999999,Broker,46,100000.0,100000.0,BuySell,46,,,BuySell,46,,,DataTrades,46,,
47,NFLX,47,2021-08-04 23:59:59.999989,146.6703,146.7302,146.6503,146.6802,17260.0,0.0,AMZN,47,2021-08-04 23:59:59.999989,286.51,286.51,286.4,286.5099,1829.0,0.0,Strategy_pairGen,47,738006.9999999999,Broker,47,100000.0,100000.0,BuySell,47,,,BuySell,47,,,DataTrades,47,,
48,NFLX,48,2021-08-04 23:59:59.999989,146.6902,146.7901,146.6503,146.7901,25987.0,0.0,AMZN,48,2021-08-04 23:59:59.999989,286.5099,286.78,286.45,286.78,3543.0,0.0,Strategy_pairGen,48,738006.9999999999,Broker,48,100000.0,100000.0,BuySell,48,,,BuySell,48,,,DataTrades,48,,
49,NFLX,49,2021-08-05 23:59:59.999989,146.6802,146.7102,146.5704,146.6103,10965.0,0.0,AMZN,49,2021-08-05 23:59:59.999989,287.14,287.14,286.5,286.5,433.0,0.0,Strategy_pairGen,49,738007.9999999999,Broker,49,100000.0,100000.0,BuySell,49,,,BuySell,49,,,DataTrades,49,,
50,NFLX,50,2021-08-05 23:59:59.999989,146.6103,146.84,146.6004,146.84,4082.0,0.0,AMZN,50,2021-08-05 23:59:59.999989,286.15,286.51,286.15,286.42,1045.0,0.0,Strategy_pairGen,50,738007.9999999999,Broker,50,100000.0,100000.0,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,NFLX,51,2021-08-05 23:59:59.999989,146.7801,146.86,146.7601,146.7901,2752.0,0.0,AMZN,51,2021-08-05 23:59:59.999989,286.75,287.0,286.75,287.0,470.0,0.0,Strategy_pairGen,51,738007.9999999999,Broker,51,100000.0,100000.0,BuySell,51,,,BuySell,51,,,DataTrades,51,,
52,NFLX,52,2021-08-05 23:59:59.999989,146.81,147.0297,146.7901,146.9998,36807.0,0.0,AMZN,52,2021-08-05 23:59:59.999989,287.0,287.25,286.66,287.15,7981.0,0.0,Strategy_pairGen,52,738007.9999999999,Broker,52,100000.0,100000.0,BuySell,52,,,BuySell,52,,,DataTrades,52,,
53,NFLX,53,2021-08-05 23:59:59.999989,146.8499,147.1795,146.8001,146.9699,147725.0,0.0,AMZN,53,2021-08-05 23:59:59.999989,286.955,287.2001,286.6001,286.73,14359.0,0.0,Strategy_pairGen,53,738007.9999999999,Broker,53,100000.0,100000.0,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,NFLX,54,2021-08-05 23:59:59.999989,146.9698,147.0197,145.9513,146.835,8311782.0,0.0,AMZN,54,2021-08-05 23:59:59.999989,286.79,287.8299,286.1,287.7239,1356212.0,0.0,Strategy_pairGen,54,738007.9999999999,Broker,54,100000.0,100000.0,BuySell,54,,,BuySell,54,,,DataTrades,54,,
55,NFLX,55,2021-08-05 23:59:59.999989,146.84,147.3642,146.571,147.2694,7406794.0,0.0,AMZN,55,2021-08-05 23:59:59.999989,287.7,288.61,287.57,288.4465,1674443.0,0.0,Strategy_pairGen,55,738007.9999999999,Broker,55,100000.0,100000.0,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,NFLX,56,2021-08-05 23:59:59.999989,147.2693,147.6188,147.0796,147.2394,4918159.0,0.0,AMZN,56,2021-08-05 23:59:59.999989,288.4584,288.82,288.0,288.2,1289156.0,0.0,Strategy_pairGen,56,738007.9999999999,Broker,56,100000.0,100000.0,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,NFLX,57,2021-08-05 23:59:59.999989,147.2444,147.3243,146.9498,147.0373,3356630.0,0.0,AMZN,57,2021-08-05 23:59:59.999989,288.21,288.49,287.95,288.12,844570.0,0.0,Strategy_pairGen,57,738007.9999999999,Broker,57,100000.0,100000.0,BuySell,57,,,BuySell,57,,,DataTrades,57,,
58,NFLX,58,2021-08-05 23:59:59.999989,147.0297,147.1595,146.8899,147.1326,2498727.0,0.0,AMZN,58,2021-08-05 23:59:59.999989,288.115,288.71,288.04,288.6,792791.0,0.0,Strategy_pairGen,58,738007.9999999999,Broker,58,100000.0,100000.0,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,NFLX,59,2021-08-05 23:59:59.999989,147.1396,147.2394,146.8219,146.8345,3482335.0,0.0,AMZN,59,2021-08-05 23:59:59.999989,288.6,289.06,288.59,288.95,989718.0,0.0,Strategy_pairGen,59,738007.9999999999,Broker,59,100000.0,100000.0,BuySell,59,,,BuySell,59,,,DataTrades,59,,
60,NFLX,60,2021-08-05 23:59:59.999989,146.835,146.9698,146.5105,146.84,6601041.0,0.0,AMZN,60,2021-08-05 23:59:59.999989,288.96,289.63,288.64,289.55,1889698.0,0.0,Strategy_pairGen,60,738007.9999999999,Broker,60,100000.0,100000.0,BuySell,60,,,BuySell,60,,,DataTrades,60,,
61,NFLX,61,2021-08-05 23:59:59.999989,146.84,146.8799,146.7002,146.7401,3391861.0,0.0,AMZN,61,2021-08-05 23:59:59.999989,289.52,289.66,289.4,289.6,1947506.0,0.0,Strategy_pairGen,61,738007.9999999999,Broker,61,100000.0,100000.0,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,NFLX,62,2021-08-05 23:59:59.999989,146.7302,146.84,146.7002,146.7202,35789.0,0.0,AMZN,62,2021-08-05 23:59:59.999989,289.6,289.74,289.56,289.6,8048.0,0.0,Strategy_pairGen,62,738007.9999999999,Broker,62,100000.0,100000.0,BuySell,62,,,BuySell,62,,,DataTrades,62,,
63,NFLX,63,2021-08-05 23:59:59.999989,146.7102,146.7501,146.6803,146.6902,20380.0,0.0,AMZN,63,2021-08-05 23:59:59.999989,289.6,289.73,289.42,289.5,1782.0,0.0,Strategy_pairGen,63,738007.9999999999,Broker,63,100000.0,100000.0,BuySell,63,,,BuySell,63,,,DataTrades,63,,
64,NFLX,64,2021-08-05 23:59:59.999989,146.7002,146.7401,146.6403,146.6802,28179.0,0.0,AMZN,64,2021-08-05 23:59:59.999989,289.5,289.6,289.31,289.34,2981.0,0.0,Strategy_pairGen,64,738007.9999999999,Broker,64,100000.0,100000.0,BuySell,64,,,BuySell,64,,,DataTrades,64,,
65,NFLX,65,2021-08-06 23:59:59.999989,146.5,146.95,146.5,146.76,13973.0,0.0,AMZN,65,2021-08-06 23:59:59.999989,289.8,290.02,289.5,290.02,12383.0,0.0,Strategy_pairGen,65,738008.9999999999,Broker,65,100000.0,100000.0,BuySell,65,,,BuySell,65,,,DataTrades,65,,
66,NFLX,66,2021-08-06 23:59:59.999989,146.76,146.84,146.57,146.72,5641.0,0.0,AMZN,66,2021-08-06 23:59:59.999989,290.09,290.3,289.91,290.3,7594.0,0.0,Strategy_pairGen,66,738008.9999999999,Broker,66,100000.0,100000.0,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,NFLX,67,2021-08-06 23:59:59.999989,146.7,146.7,146.53,146.53,4753.0,0.0,AMZN,67,2021-08-06 23:59:59.999989,290.06,290.06,289.55,289.61,6598.0,0.0,Strategy_pairGen,67,738008.9999999999,Broker,67,100000.0,100000.0,BuySell,67,,,BuySell,67,,,DataTrades,67,,
68,NFLX,68,2021-08-06 23:59:59.999989,146.65,146.82,146.6,146.65,47925.0,0.0,AMZN,68,2021-08-06 23:59:59.999989,289.79,289.79,289.45,289.51,5765.0,0.0,Strategy_pairGen,68,738008.9999999999,Broker,68,100000.0,100000.0,BuySell,68,,,BuySell,68,,,DataTrades,68,,
69,NFLX,69,2021-08-06 23:59:59.999989,146.6001,146.85,146.06,146.34,415085.0,0.0,AMZN,69,2021-08-06 23:59:59.999989,289.6001,290.243,288.06,288.5,56591.0,0.0,Strategy_pairGen,69,738008.9999999999,Broker,69,100000.0,100000.0,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,NFLX,70,2021-08-06 23:59:59.999989,146.33,146.86,145.9,146.59,8213133.0,0.0,AMZN,70,2021-08-06 23:59:59.999989,288.5,289.5,288.05,288.5499,1628144.0,0.0,Strategy_pairGen,70,738008.9999999999,Broker,70,100000.0,100000.0,BuySell,70,,,BuySell,70,,,DataTrades,70,,
71,NFLX,71,2021-08-06 23:59:59.999989,146.59,147.11,146.4,146.53,6686653.0,0.0,AMZN,71,2021-08-06 23:59:59.999989,288.54,288.92,287.6238,287.91,1461350.0,0.0,Strategy_pairGen,71,738008.9999999999,Broker,71,100000.0,100000.0,BuySell,71,,,BuySell,71,,,DataTrades,71,,
72,NFLX,72,2021-08-06 23:59:59.999989,146.54,146.7,145.97,146.29,5816869.0,0.0,AMZN,72,2021-08-06 23:59:59.999989,287.93,288.45,287.71,288.415,997289.0,0.0,Strategy_pairGen,72,738008.9999999999,Broker,72,100000.0,100000.0,BuySell,72,,,BuySell,72,,,DataTrades,72,,
73,NFLX,73,2021-08-06 23:59:59.999989,146.2891,146.33,145.91,146.1,3571460.0,0.0,AMZN,73,2021-08-06 23:59:59.999989,288.42,288.5182,287.97,288.33,661001.0,0.0,Strategy_pairGen,73,738008.9999999999,Broker,73,100000.0,100000.0,BuySell,73,,,BuySell,73,,,DataTrades,73,,
74,NFLX,74,2021-08-06 23:59:59.999989,146.1006,146.235,145.72,145.94,3453359.0,0.0,AMZN,74,2021-08-06 23:59:59.999989,288.34,288.47,288.09,288.25,561980.0,0.0,Strategy_pairGen,74,738008.9999999999,Broker,74,100000.0,100000.0,BuySell,74,,,BuySell,74,,,DataTrades,74,,
75,NFLX,75,2021-08-06 23:59:59.999989,145.9414,145.97,145.63,145.71,3385888.0,0.0,AMZN,75,2021-08-06 23:59:59.999989,288.27,288.48,288.025,288.1599,796081.0,0.0,Strategy_pairGen,75,738008.9999999999,Broker,75,100000.0,100000.0,BuySell,75,,,BuySell,75,,,DataTrades,75,,
76,NFLX,76,2021-08-06 23:59:59.999989,145.71,146.16,145.66,146.14,7527963.0,0.0,AMZN,76,2021-08-06 23:59:59.999989,288.14,289.49,288.06,289.46,2057042.0,0.0,Strategy_pairGen,76,738008.9999999999,Broker,76,100000.0,100000.0,BuySell,76,,,BuySell,76,,,DataTrades,76,,
77,NFLX,77,2021-08-06 23:59:59.999989,146.09,146.14,145.97,146.0,6759036.0,0.0,AMZN,77,2021-08-06 23:59:59.999989,289.46,289.46,289.0,289.23,2464211.0,0.0,Strategy_pairGen,77,738008.9999999999,Broker,77,100000.0,100000.0,BuySell,77,,,BuySell,77,,,DataTrades,77,,
78,NFLX,78,2021-08-06 23:59:59.999989,146.0,146.01,145.92,145.94,43728.0,0.0,AMZN,78,2021-08-06 23:59:59.999989,289.12,289.3,289.12,289.25,7463.0,0.0,Strategy_pairGen,78,738008.9999999999,Broker,78,100000.0,100000.0,BuySell,78,,,BuySell,78,,,DataTrades,78,,
79,NFLX,79,2021-08-06 23:59:59.999989,145.97,145.97,145.9,145.95,16888.0,0.0,AMZN,79,2021-08-06 23:59:59.999989,289.3,289.3,289.2,289.25,4712.0,0.0,Strategy_pairGen,79,738008.9999999999,Broker,79,100000.0,100000.0,BuySell,79,,,BuySell,79,,,DataTrades,79,,
80,NFLX,80,2021-08-06 23:59:59.999989,145.94,145.99,145.92,145.96,20174.0,0.0,AMZN,80,2021-08-06 23:59:59.999989,289.15,289.25,289.12,289.12,1220.0,0.0,Strategy_pairGen,80,738008.9999999999,Broker,80,100000.0,100000.0,BuySell,80,,,BuySell,80,,,DataTrades,80,,
81,NFLX,81,2021-08-09 23:59:59.999989,145.98,146.05,145.74,146.0,8389.0,0.0,AMZN,81,2021-08-09 23:59:59.999989,289.2,290.67,289.2,290.5,13082.0,0.0,Strategy_pairGen,81,738011.9999999999,Broker,81,100024.87408458536,99956.53827428448,BuySell,81,143.5539,,BuySell,81,,295.03004999999996,DataTrades,81,,
