DateTime,Open,High,Low,Close,Volume
2021-08-02 04:04:00,3358.2,3358.2,3358.2,3358.2,117
2021-08-02 04:22:00,3352.0,3352.0,3352.0,3352.0,100
2021-08-02 04:53:00,3354.9,3354.9,3354.9,3354.9,100
2021-08-02 04:54:00,3357.0,3357.0,3357.0,3357.0,190
2021-08-02 05:25:00,3352.0,3352.0,3352.0,3352.0,215
2021-08-02 05:26:00,3353.0,3353.0,3353.0,3353.0,100
2021-08-02 05:46:00,3354.69,3354.69,3354.69,3354.69,100
2021-08-02 05:50:00,3355.25,3355.25,3355.25,3355.25,100
2021-08-02 05:51:00,3353.0,3353.0,3353.0,3353.0,384
2021-08-02 05:54:00,3352.0,3352.0,3352.0,3352.0,100
2021-08-02 06:00:00,3351.0,3351.0,3351.0,3351.0,500
2021-08-02 06:12:00,3351.0,3351.0,3351.0,3351.0,200
2021-08-02 06:26:00,3351.9,3351.9,3351.9,3351.9,200
2021-08-02 06:28:00,3352.56,3352.56,3352.56,3352.56,209
2021-08-02 06:46:00,3348.24,3348.24,3348.24,3348.24,103
2021-08-02 06:51:00,3348.69,3348.69,3348.69,3348.69,171
2021-08-02 06:58:00,3349.0,3349.0,3348.5,3348.5,200
2021-08-02 07:00:00,3349.0,3353.51,3345.0,3345.0,1131
2021-08-02 07:01:00,3345.16,3345.16,3345.16,3345.16,100
2021-08-02 07:06:00,3344.0,3344.0,3344.0,3344.0,231
2021-08-02 07:08:00,3345.5,3345.5,3345.5,3345.5,200
2021-08-02 07:10:00,3345.5,3345.5,3345.5,3345.5,300
2021-08-02 07:11:00,3346.0,3346.0,3346.0,3346.0,134
2021-08-02 07:12:00,3349.0,3349.0,3349.0,3349.0,290
2021-08-02 07:13:00,3348.98,3348.98,3348.98,3348.98,100
2021-08-02 07:19:00,3348.0,3348.0,3348.0,3348.0,371
2021-08-02 07:21:00,3347.65,3347.65,3347.65,3347.65,114
2021-08-02 07:24:00,3346.22,3346.22,3346.22,3346.22,212
2021-08-02 07:28:00,3344.21,3344.21,3344.21,3344.21,100
2021-08-02 07:29:00,3343.24,3343.4,3343.24,3343.4,200
2021-08-02 07:30:00,3342.5,3342.5,3342.5,3342.5,200
2021-08-02 07:31:00,3343.0,3343.0,3342.0,3342.0,262
2021-08-02 07:32:00,3342.0,3342.0,3342.0,3342.0,273
2021-08-02 07:33:00,3342.0,3343.0,3342.0,3343.0,545
2021-08-02 07:34:00,3343.94,3344.0,3343.94,3344.0,300
2021-08-02 07:41:00,3343.75,3343.75,3343.75,3343.75,100
2021-08-02 07:47:00,3344.65,3344.65,3344.65,3344.65,191
2021-08-02 07:50:00,3344.5,3344.5,3344.03,3344.03,370
