Date,Open,High,Low,Close,Adj Close,Volume
2006-02-21,76.160004,76.180000,74.860001,75.250000,47.424873,2432200
2006-02-22,75.730003,76.120003,75.550003,75.870003,47.815632,1987000
2006-02-23,75.349998,75.900002,75.209999,75.269997,47.437489,1841900
2006-02-24,75.379997,75.809998,75.010002,75.320000,47.469002,2007400
2006-02-27,75.320000,76.000000,75.320000,75.949997,47.866051,1466700
2006-02-28,75.800003,75.910004,74.629997,74.709999,47.084541,2858600
2006-03-01,75.099998,75.500000,74.879997,75.320000,47.469002,2283600
2006-03-02,75.070000,75.169998,74.519997,74.949997,47.235821,2122500
2006-03-03,74.430000,76.000000,74.419998,75.510002,47.588749,3008700
2006-03-06,75.400002,76.330002,75.150002,76.099998,47.960583,2521300
2006-03-07,76.169998,76.970001,75.940002,76.900002,48.464767,2742100
2006-03-08,76.750000,77.000000,76.010002,77.000000,48.527779,2975600
2006-03-09,76.900002,77.230003,76.419998,76.699997,48.338718,2462100
2006-03-10,76.699997,77.510002,76.430000,77.360001,48.754692,2747300
2006-03-13,77.690002,77.699997,76.699997,76.889999,48.458458,1810100
2006-03-14,76.889999,78.180000,76.830002,78.099998,49.221031,3244400
2006-03-15,77.940002,78.389999,77.660004,78.230003,49.302975,2676000
2006-03-16,78.000000,78.169998,77.559998,78.000000,49.158039,3310100
2006-03-17,78.300003,78.320000,77.889999,78.139999,49.246265,3406800
2006-03-20,78.099998,78.400002,77.809998,78.220001,49.296665,1974300
2006-03-21,78.470001,78.489998,77.959999,78.040001,49.183220,2429200
2006-03-22,78.040001,78.910004,77.849998,78.849998,49.693710,2283200
2006-03-23,78.860001,78.959999,78.360001,78.860001,49.700027,2461900
2006-03-24,78.080002,78.900002,78.080002,78.820000,49.674828,1854900
2006-03-27,78.820000,79.070000,78.559998,78.889999,49.718922,1779300
2006-03-28,78.070000,79.150002,78.070000,78.870003,49.706337,1996300
2006-03-29,79.120003,79.879997,78.910004,79.599998,50.166397,3219100
2006-03-30,79.449997,80.180000,79.260002,79.519997,50.115967,3355100
2006-03-31,79.669998,79.980003,79.360001,79.379997,50.027748,3190300
2006-04-03,79.800003,80.029999,79.250000,79.580002,50.153809,2992900
2006-04-04,79.800003,80.889999,79.669998,80.650002,50.828117,3416000
2006-04-05,80.639999,81.110001,80.540001,80.910004,50.991997,2824800
2006-04-06,80.839996,81.470001,80.150002,81.349998,51.269276,2663300
2006-04-07,81.349998,81.830002,81.029999,81.739998,51.515095,3766300
2006-04-10,81.800003,81.959999,81.019997,81.570000,51.407955,2064300
2006-04-11,81.699997,81.750000,80.769997,81.269997,51.218887,2730900
2006-04-12,81.599998,81.699997,81.260002,81.459999,51.338608,2121000
2006-04-13,81.470001,81.629997,81.220001,81.599998,51.426849,1609600
2006-04-17,81.480003,81.750000,80.910004,81.040001,51.073914,2488100
2006-04-18,81.839996,82.570000,81.230003,82.400002,51.931053,3651000
2006-04-19,82.849998,82.870003,82.180000,82.519997,52.006668,2328400
2006-04-20,81.500000,82.570000,81.500000,82.050003,51.710472,3574900
2006-04-21,82.459999,82.639999,81.570000,82.029999,51.697868,2716900
2006-04-24,82.029999,82.419998,81.769997,81.989998,51.672646,2210200
2006-04-25,82.000000,82.010002,80.680000,80.900002,50.985683,3041500
2006-04-26,80.930000,81.400002,80.500000,80.980003,51.036114,1786000
2006-04-27,80.910004,81.669998,80.519997,81.449997,51.332314,3009900
2006-04-28,81.389999,81.389999,80.800003,81.070000,51.092831,2682700
2006-05-01,81.320000,81.419998,80.599998,80.879997,50.973095,2336400
2006-05-02,81.419998,81.949997,80.690002,81.629997,51.445766,2220000
2006-05-03,81.629997,82.150002,81.330002,81.650002,51.458370,2148400
2006-05-04,82.000000,82.860001,81.989998,82.400002,51.931053,2551600
2006-05-05,83.000000,83.910004,82.739998,83.349998,52.529766,3585500
2006-05-08,83.980003,83.989998,83.040001,83.110001,52.378506,2061600
2006-05-09,83.120003,83.440002,82.510002,83.099998,52.372192,2107300
2006-05-10,82.750000,83.000000,82.470001,82.849998,52.214680,2226200
2006-05-11,82.470001,82.550003,81.370003,81.830002,51.809422,2348200
2006-05-12,81.830002,81.839996,80.750000,80.860001,51.195293,2332700
2006-05-15,80.500000,81.669998,80.300003,81.320000,51.486523,2408800
2006-05-16,81.320000,81.400002,80.760002,80.760002,51.131981,1805900
2006-05-17,80.260002,80.519997,79.379997,79.730003,50.479851,3031400
2006-05-18,80.000000,80.300003,79.480003,79.500000,50.334232,3292100
2006-05-19,79.599998,80.230003,79.309998,79.940002,50.612835,2810000
2006-05-22,80.300003,80.940002,79.519997,80.300003,50.840748,3239600
2006-05-23,80.550003,81.400002,80.410004,80.500000,50.967365,3188300
2006-05-24,80.199997,80.769997,79.599998,80.000000,50.650806,3691100
2006-05-25,80.599998,81.169998,80.370003,80.550003,50.999031,1986300
2006-05-26,80.879997,81.070000,80.500000,81.029999,51.302902,1389000
2006-05-30,80.779999,80.790001,79.699997,79.800003,50.524155,1807600
2006-05-31,80.050003,80.550003,79.769997,80.550003,50.999031,2632100
2006-06-01,80.870003,81.150002,80.320000,81.010002,51.290260,1871700
2006-06-02,81.010002,81.250000,80.669998,81.050003,51.315601,2190200
2006-06-05,81.019997,81.110001,79.489998,79.610001,50.403847,2053400
2006-06-06,79.750000,80.180000,78.910004,80.040001,50.676086,2042900
2006-06-07,80.099998,80.879997,79.580002,79.629997,50.416542,2332300
2006-06-08,79.660004,79.849998,78.250000,79.580002,50.384880,3121200
2006-06-09,79.580002,80.309998,78.959999,78.989998,50.011326,2006700
2006-06-12,79.199997,79.540001,78.660004,78.660004,49.802399,1624400
2006-06-13,78.800003,79.599998,78.519997,78.720001,49.840389,2440600
2006-06-14,78.470001,78.949997,77.550003,78.199997,49.511154,2917000
2006-06-15,78.180000,79.690002,78.000000,79.559998,50.372204,3273700
