Date,A,AA,AAPL,AMZN
2021-08-18,163.020004,41.490002,146.360001,3201.219971
2021-08-19,167.669998,36.919998,146.699997,3187.75
2021-08-20,168.130005,37.709999,148.190002,3199.949951
2021-08-23,170.0,41.110001,149.710007,3265.870117
2021-08-24,170.570007,42.130001,149.619995,3305.780029
2021-08-25,173.300003,42.060001,148.360001,3299.179932
2021-08-26,173.589996,41.419998,147.539993,3316.0
2021-08-27,173.809998,44.130001,148.600006,3349.629883
2021-08-30,176.729996,44.049999,153.119995,3421.570068
2021-08-31,175.470001,44.369999,151.830002,3470.790039
2021-09-01,175.449997,45.599998,152.509995,3479.0
2021-09-02,178.020004,46.91,153.649994,3463.120117
2021-09-03,179.279999,47.209999,154.300003,3478.050049
2021-09-07,177.720001,46.77,156.690002,3509.290039
2021-09-08,178.729996,45.73,155.110001,3525.5
2021-09-09,177.229996,47.509998,154.070007,3484.159912
2021-09-10,177.229996,49.5,148.970001,3469.149902
2021-09-13,172.080002,49.220001,149.550003,3457.169922
2021-09-14,172.419998,48.0,148.119995,3450.0
2021-09-15,173.789993,51.68,149.029999,3475.790039
2021-09-16,173.279999,49.41,148.789993,3488.23999
2021-09-17,173.940002,48.830002,146.059998,3462.52002
2021-09-20,171.339996,48.459999,142.940002,3355.72998
2021-09-21,171.440002,45.599998,143.429993,3343.629883
2021-09-22,172.440002,47.950001,145.850006,3380.050049
2021-09-23,172.770004,48.560001,146.830002,3416.0
2021-09-24,172.399994,48.490002,146.919998,3425.52002
2021-09-27,166.380005,51.560001,145.369995,3405.800049
2021-09-28,159.899994,50.98,141.910004,3315.959961
2021-09-29,160.0,50.580002,142.830002,3301.120117
2021-09-30,157.529999,48.939999,141.5,3285.040039
2021-10-01,155.990005,49.77,142.649994,3283.26001
2021-10-04,152.360001,49.18,139.139999,3189.780029
2021-10-05,153.029999,49.049999,141.110001,3221.0
2021-10-06,153.649994,47.049999,142.0,3262.01001
2021-10-07,155.320007,47.049999,143.289993,3302.429932
2021-10-08,152.470001,46.029999,142.899994,3288.620117
2021-10-11,150.020004,47.290001,142.809998,3246.300049
2021-10-12,147.949997,47.779999,141.509995,3247.330078
2021-10-13,150.220001,48.400002,140.910004,3284.280029
2021-10-14,152.589996,48.599998,143.759995,3299.860107
2021-10-15,153.270004,56.0,144.839996,3409.02002
2021-10-18,154.779999,57.240002,146.550003,3446.73999
2021-10-19,155.619995,53.68,148.759995,3444.149902
2021-10-20,157.589996,52.509998,149.259995,3415.060059
2021-10-21,156.940002,49.990002,149.479996,3435.01001
2021-10-22,157.970001,49.25,148.690002,3335.550049
2021-10-25,158.339996,51.169998,148.639999,3320.370117
2021-10-26,158.190002,49.549999,149.320007,3376.070068
2021-10-27,155.259995,45.889999,148.850006,3392.48999
2021-10-28,155.759995,46.450001,152.570007,3446.570068
2021-10-29,157.490005,45.950001,149.800003,3372.429932
2021-11-01,157.059998,46.73,148.960007,3318.110107
2021-11-02,157.850006,47.080002,150.020004,3312.75
2021-11-03,158.199997,47.43,151.490005,3384.0
2021-11-04,157.649994,46.369999,150.960007,3477.0
2021-11-05,156.410004,47.860001,151.279999,3518.98999
2021-11-08,160.940002,48.860001,150.440002,3488.97998
2021-11-09,159.809998,47.240002,150.809998,3576.22998
2021-11-10,159.279999,46.169998,147.919998,3482.050049
2021-11-11,158.789993,51.209999,147.869995,3472.5
2021-11-12,160.880005,51.919998,149.990005,3525.149902
2021-11-15,157.779999,50.630001,150.0,3545.679932
2021-11-16,161.389999,48.200001,151.0,3540.699951
2021-11-17,161.539993,47.919998,153.490005,3549.0
2021-11-18,162.160004,47.700001,157.869995,3696.060059
2021-11-19,164.300003,47.599998,160.550003,3676.570068
2021-11-22,162.779999,48.509998,161.020004,3572.570068
2021-11-23,154.779999,49.02,161.410004,3580.040039
2021-11-24,152.970001,50.459999,161.940002,3580.409912
2021-11-26,152.070007,47.950001,156.809998,3504.560059
2021-11-29,153.419998,49.139999,160.240005,3561.570068
2021-11-30,150.899994,46.529999,165.300003,3507.070068
2021-12-01,148.210007,43.779999,164.770004,3443.719971
2021-12-02,150.990005,44.82,163.759995,3437.360107
2021-12-03,149.330002,44.07,161.839996,3389.790039
2021-12-06,151.470001,45.560001,165.320007,3427.370117
2021-12-07,153.800003,46.939999,171.179993,3523.290039
2021-12-08,156.309998,48.560001,175.080002,3523.159912
2021-12-09,154.610001,49.98,174.559998,3483.419922
2021-12-10,156.259995,48.799999,179.449997,3444.23999
2021-12-13,156.289993,47.779999,175.740005,3391.350098
2021-12-14,151.880005,50.459999,174.330002,3381.830078
2021-12-15,154.309998,50.970001,179.300003,3466.300049
2021-12-16,150.800003,52.59,172.259995,3377.419922
2021-12-17,151.419998,53.73,171.139999,3400.350098
2021-12-20,150.419998,53.110001,169.75,3341.580078
2021-12-21,153.960007,56.790001,172.990005,3408.340088
2021-12-22,156.779999,59.310001,175.639999,3420.73999
2021-12-23,157.800003,59.360001,176.279999,3421.370117
2021-12-27,158.740005,59.830002,180.330002,3393.389893
2021-12-28,159.179993,59.189999,179.289993,3413.219971
