Date,Open,High,Low,Close,Adj Close,Volume
2022-02-15,137.250000,138.059998,134.729996,135.910004,135.910004,2368200
2022-02-16,135.550003,135.600006,132.110001,135.149994,135.149994,3187500
2022-02-17,134.639999,134.639999,129.710007,130.250000,130.250000,2577800
2022-02-18,130.500000,133.429993,130.000000,132.050003,132.050003,3614100
2022-02-22,130.869995,132.690002,129.259995,130.490005,130.490005,3054800
2022-02-23,129.880005,134.369995,125.949997,126.000000,126.000000,3938700
2022-02-24,123.699997,128.630005,123.059998,128.149994,128.149994,3430200
2022-02-25,128.839996,133.750000,127.919998,133.729996,133.729996,3144500
2022-02-28,132.029999,132.880005,129.160004,130.360001,130.360001,3096400
2022-03-01,130.830002,132.919998,130.089996,131.929993,131.929993,2634100
2022-03-02,132.679993,133.960007,131.800003,133.160004,133.160004,1863100
2022-03-03,133.729996,138.000000,133.440002,137.169998,137.169998,3592100
2022-03-04,135.850006,137.119995,132.139999,133.889999,133.889999,3848500
2022-03-07,133.550003,133.550003,128.429993,130.339996,130.339996,2376500
2022-03-08,128.639999,132.500000,127.540001,129.320007,129.320007,2375500
2022-03-09,132.850006,133.940002,131.190002,133.259995,133.259995,1805500
2022-03-10,131.399994,134.520004,131.289993,134.330002,134.330002,1933100
2022-03-11,135.429993,136.440002,130.160004,130.309998,130.309998,1815700
2022-03-14,null,null,null,null,null,null
