Date,Open,High,Low,Close,Adj Close,Volume
2022-02-15,3152.110107,3160.139893,3092.750000,3130.209961,3130.209961,2822000
2022-02-16,3115.810059,3176.679932,3094.689941,3162.010010,3162.010010,2635200
2022-02-17,3162.919922,3206.979980,3090.000000,3093.050049,3093.050049,3201600
2022-02-18,3109.989990,3109.989990,3017.860107,3052.030029,3052.030029,3180200
2022-02-22,3009.570068,3059.649902,2969.709961,3003.949951,3003.949951,3306400
2022-02-23,3033.010010,3035.260010,2893.020020,2896.540039,2896.540039,3212200
2022-02-24,2796.750000,3034.979980,2790.000000,3027.159912,3027.159912,5039300
2022-02-25,3011.000000,3079.800049,2984.270020,3075.770020,3075.770020,3119800
2022-02-28,3048.500000,3089.000000,3017.000000,3071.260010,3071.260010,2878500
2022-03-01,3054.649902,3081.979980,2999.540039,3022.840088,3022.840088,2243700
2022-03-02,3016.979980,3059.989990,2975.000000,3041.050049,3041.050049,2366700
2022-03-03,3070.629883,3078.580078,2937.120117,2957.969971,2957.969971,3259900
2022-03-04,2943.179932,2957.000000,2876.139893,2912.820068,2912.820068,3046700
2022-03-07,2908.870117,2921.889893,2748.330078,2749.060059,2749.060059,4346700
2022-03-08,2733.669922,2813.989990,2671.449951,2720.290039,2720.290039,4583100
2022-03-09,2790.000000,2805.000000,2736.560059,2785.580078,2785.580078,4132800
2022-03-10,2913.699951,2973.489990,2879.560059,2936.350098,2936.350098,6753100
2022-03-11,2991.489990,2993.500000,2907.379883,2910.489990,2910.489990,3440500
2022-03-14,null,null,null,null,null,null
