Date,Open,High,Low,Close,Adj Close,Volume
2022-02-15,72.449997,74.190002,70.559998,74.040001,73.958328,6823400
2022-02-16,75.000000,77.949997,74.720001,77.839996,77.754135,7355800
2022-02-17,77.059998,77.660004,75.434998,76.470001,76.385651,5515000
2022-02-18,76.029999,78.370003,75.550003,78.199997,78.113739,5825300
2022-02-22,80.000000,80.080002,73.110001,74.089996,74.008270,8994000
2022-02-23,74.250000,75.680000,73.110001,75.320000,75.236916,6588200
2022-02-24,75.290001,77.449997,69.849998,73.300003,73.219147,11610900
2022-02-25,73.110001,78.379997,71.780998,77.849998,77.764130,7361900
2022-02-28,77.650002,80.580002,75.010002,75.339996,75.256889,9363300
2022-03-01,77.889999,85.730003,77.059998,79.779999,79.692001,15303400
2022-03-02,81.010002,83.160004,78.781998,82.559998,82.468933,10760800
2022-03-03,82.529999,84.275002,79.449997,82.889999,82.798569,7513700
2022-03-04,82.010002,90.949997,81.730003,90.660004,90.560005,19654000
2022-03-07,89.559998,92.320000,83.510002,85.400002,85.400002,12623500
2022-03-08,82.000000,85.599998,77.769997,82.370003,82.370003,12840900
2022-03-09,79.800003,80.809998,77.000000,79.519997,79.519997,11917700
2022-03-10,83.690002,84.360001,78.250000,82.940002,82.940002,10238600
2022-03-11,80.489998,81.866997,78.650002,79.040001,79.040001,5687900
2022-03-14,77.169998,77.169998,72.047997,73.500000,73.500000,7906300
