Datetime,A,AA,AAPL,AMZN
2022-03-25 09:30:00-04:00,137.0800018310547,96.05000305175781,173.67999267578125,3279.830078125
2022-03-25 09:31:00-04:00,137.35000610351562,97.19999694824219,173.92300415039062,3278.81005859375
2022-03-25 09:32:00-04:00,137.42999267578125,97.12000274658203,173.97999572753906,3279.867919921875
2022-03-25 09:33:00-04:00,137.24000549316406,96.91500091552734,173.9199981689453,3289.85009765625
2022-03-25 09:34:00-04:00,136.77000427246094,97.1426010131836,173.50900268554688,3293.18994140625
2022-03-25 09:35:00-04:00,136.5915985107422,98.0,173.19009399414062,3284.079833984375
2022-03-25 09:36:00-04:00,,97.71499633789062,173.27999877929688,3283.635009765625
2022-03-25 09:37:00-04:00,136.42999267578125,97.4000015258789,173.33999633789062,3279.889892578125
2022-03-25 09:38:00-04:00,136.22000122070312,97.5250015258789,173.39010620117188,3274.0
2022-03-25 09:39:00-04:00,136.00999450683594,97.39119720458984,173.24009704589844,3278.14990234375
2022-03-25 09:40:00-04:00,135.89999389648438,97.45500183105469,173.3800048828125,3275.010009765625
2022-03-25 09:41:00-04:00,135.94000244140625,96.5801010131836,173.7003936767578,3281.659912109375
2022-03-25 09:42:00-04:00,136.1999969482422,96.27999877929688,173.9300994873047,3286.672119140625
2022-03-25 09:43:00-04:00,136.2100067138672,95.5250015258789,173.7646942138672,3286.03271484375
2022-03-25 09:44:00-04:00,136.00999450683594,95.2699966430664,173.9553985595703,3286.2099609375
2022-03-25 09:45:00-04:00,135.94000244140625,95.31690216064453,173.77999877929688,3285.85009765625
2022-03-25 09:46:00-04:00,136.0500030517578,95.23999786376953,174.2550048828125,3287.659912109375
2022-03-25 09:47:00-04:00,136.0800018310547,95.45999908447266,174.40499877929688,3291.68701171875
2022-03-25 09:48:00-04:00,135.91000366210938,94.99500274658203,174.49000549316406,3293.31005859375
2022-03-25 09:49:00-04:00,135.8800048828125,94.55999755859375,174.38699340820312,3292.965087890625
2022-03-25 09:50:00-04:00,135.97000122070312,94.23500061035156,174.52000427246094,3294.742919921875
2022-03-25 09:51:00-04:00,135.69000244140625,94.63999938964844,174.52999877929688,3296.3798828125
2022-03-25 09:52:00-04:00,135.7949981689453,94.59500122070312,174.3249969482422,3293.659912109375
2022-03-25 09:53:00-04:00,135.7100067138672,94.58000183105469,174.3300018310547,3294.2548828125
2022-03-25 09:54:00-04:00,135.69500732421875,94.2699966430664,174.4600067138672,3298.14990234375
2022-03-25 09:55:00-04:00,135.60000610351562,94.26000213623047,174.1300048828125,3290.389892578125
2022-03-25 09:56:00-04:00,135.72000122070312,94.18199920654297,173.89999389648438,3291.25
2022-03-25 09:57:00-04:00,135.51499938964844,93.98999786376953,173.75,3288.885009765625
2022-03-25 09:58:00-04:00,135.625,94.0,173.82009887695312,3287.43994140625
2022-03-25 09:59:00-04:00,135.45700073242188,94.0999984741211,173.8000030517578,3288.179931640625
2022-03-25 10:00:00-04:00,135.1699981689453,94.01499938964844,173.7779998779297,3285.070068359375
2022-03-25 10:01:00-04:00,135.07000732421875,94.02999877929688,173.7100067138672,3281.304931640625
2022-03-25 10:02:00-04:00,135.11000061035156,93.7249984741211,173.6199951171875,3276.590087890625
2022-03-25 10:03:00-04:00,135.0399932861328,93.69999694824219,173.66000366210938,3276.550048828125
2022-03-25 10:04:00-04:00,135.1999969482422,93.75499725341797,173.8300018310547,3276.699951171875
2022-03-25 10:05:00-04:00,135.1699981689453,94.04499816894531,173.88999938964844,3276.044921875
2022-03-25 10:06:00-04:00,135.0399932861328,93.9000015258789,173.83999633789062,3279.465087890625
2022-03-25 10:07:00-04:00,,93.45999908447266,173.9600067138672,3279.10009765625
2022-03-25 10:08:00-04:00,135.22000122070312,93.34500122070312,174.1699981689453,3280.0
2022-03-25 10:09:00-04:00,135.11000061035156,93.65499877929688,174.29420471191406,3281.574951171875
2022-03-25 10:10:00-04:00,135.2100067138672,93.625,174.2949981689453,3283.764892578125
2022-03-25 10:11:00-04:00,135.24000549316406,93.4800033569336,174.27999877929688,3283.820068359375
2022-03-25 10:12:00-04:00,135.27000427246094,93.4749984741211,174.19000244140625,3283.60107421875
2022-03-25 10:13:00-04:00,135.2899932861328,93.51000213623047,174.1999969482422,3285.949951171875
2022-03-25 10:14:00-04:00,135.1199951171875,93.41500091552734,174.02699279785156,3278.873779296875
2022-03-25 10:15:00-04:00,,93.47000122070312,173.94000244140625,3270.865966796875
2022-03-25 10:16:00-04:00,135.0659942626953,93.80999755859375,174.05999755859375,3272.81005859375
2022-03-25 10:17:00-04:00,134.91000366210938,93.72000122070312,173.84500122070312,3269.052978515625
2022-03-25 10:18:00-04:00,135.02999877929688,93.36000061035156,173.92999267578125,3271.419921875
2022-03-25 10:19:00-04:00,135.1699981689453,93.66500091552734,173.99000549316406,3274.5400390625
2022-03-25 10:20:00-04:00,135.0449981689453,93.62999725341797,174.0399932861328,3277.199951171875
2022-03-25 10:21:00-04:00,135.25,93.79000091552734,174.26890563964844,3281.25390625
2022-03-25 10:22:00-04:00,135.22999572753906,93.84500122070312,174.38499450683594,3283.699951171875
2022-03-25 10:23:00-04:00,135.3000030517578,93.5,174.5399932861328,3286.5
2022-03-25 10:24:00-04:00,135.32000732421875,93.61499786376953,174.60000610351562,3286.340087890625
2022-03-25 10:25:00-04:00,135.25,93.70500183105469,174.4250030517578,3282.860107421875
2022-03-25 10:26:00-04:00,135.28509521484375,93.67500305175781,174.44549560546875,3284.780029296875
2022-03-25 10:27:00-04:00,135.22999572753906,93.8949966430664,174.55209350585938,3287.31201171875
